Ashe,46.3,0.658,0,2.85,0.0334,0,0,0,1,1,Ranged
Caitlyn,47,0.668,0,3,0.03,0,0,0,1,1,Ranged
Corki,48.2,0.658,0,3,0.023,0,0,0,1,1,Ranged
Draven,46.5,0.679,0,3.5,0.026,0,0,0,1,1,Ranged
Ezreal,47.2,0.665,0,3,0.028,0,0,0,1,1,Ranged
Fiora,54.5,0.672,0,3.2,0.03,0,0,0,1,1,Melee
Graves,51,0.638,0,3.1,0.029,0,0,0,1,1,Ranged
KogMaw,46,0.665,0,3,0.0265,0,0,0,1,1,Ranged
MasterYi,55.12,0.679,0,3.1,0.0298,0,0,0,1,1,Melee
MissFortune,46.5,0.658,0,3,0.0301,0,0,0,1,1,Ranged
Sivir,49,0.658,0,2.9,0.0328,0,0,0,1,1,Ranged
Tristana,46.5,0.658,0,3,0.0301,0,0,0,1,1,Ranged
Tryndamere,56,0.644,0,3.2,0.029,0,0,0,1,1,Melee
Twitch,51.56,0.679,0,3.15,0.0338,0,0,0,1,1,Ranged
Varus,46,0.658,0,3,0.0265,0,0,0,1,1,Ranged
Vayne,50,0.658,0,3.25,0.031,0,0,0,1,1,Ranged
